S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod
826,Through Informatics Theft,Female,27 and Under,Low,Technical,Married,Graduate,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
827,Through Informatics Theft,Male,27 and Under,Low,Student,Single,High School,Threating / Blackmailing,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
828,Through Informatics Theft,Female,27 and Under,Low,Student,Married,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
829,Through Informatics Theft,Female,Between 28 and 37,Low,Housewife,Married,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
830,Through Informatics Theft,Male,51 and Above,Low,Retired,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
831,Through Informatics Theft,Female,Between 38 and 50,Middle,Health Sector Manager,Married,Under Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
832,Through Informatics Theft,Female,Between 38 and 50,High,Justice and Security,Married,Under Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
833,Through Informatics Theft,Male,Between 38 and 50,Middle,Technical,Single,Primary Education,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
834,Through Informatics Theft,Female,Between 28 and 37,Low,Housewife,Married,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
835,Through Informatics Theft,Male,27 and Under,Low,Student,Single,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
836,Through Informatics Theft,Male,Between 28 and 37,Middle,Others,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
837,Through Informatics Theft,Female,27 and Under,Middle,Justice and Security,Married,Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
838,Through Informatics Theft,Female,Between 28 and 37,Middle,Housewife,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
839,Through Informatics Theft,Male,Between 28 and 37,Middle,Health Sector Manager,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
840,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
841,Through Informatics Theft,Female,Between 28 and 37,Middle,Others,Married,Graduate,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
842,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
843,Through Informatics Theft,Male,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
844,Through Informatics Theft,Male,Between 28 and 37,High,Justice and Security,Married,Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
845,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
846,Through Informatics Theft,Female,Between 28 and 37,Middle,Finance Sector,Married,Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
847,Through Informatics Theft,Female,Between 38 and 50,Low,Housewife,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
848,Through Informatics Theft,Male,Between 28 and 37,Middle,Technical,Married,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
849,Through Informatics Theft,Male,Between 28 and 37,Middle,Technical,Married,Primary Education,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
850,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
851,Through Informatics Theft,Female,27 and Under,Middle,Education,Single,Graduate,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
852,Through Informatics Theft,Male,Between 38 and 50,Low,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
853,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
854,Through Informatics Theft,Female,27 and Under,Low,Student,Single,Primary Education,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
855,Through Informatics Theft,Female,Between 28 and 37,High,Justice and Security,Single,Graduate,Threating / Blackmailing,Copying Bank / ATM Cards,Receiving Public Data on Social Media
856,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
857,Through Informatics Theft,Male,Between 38 and 50,Middle,Others,Married,Graduate,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
858,Through Informatics Theft,Male,27 and Under,Low,Student,Single,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
859,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
860,Through Informatics Theft,Female,Between 38 and 50,Middle,Housewife,Married,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
861,Through Informatics Theft,Female,Between 28 and 37,Low,Housewife,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
862,Through Informatics Theft,Female,27 and Under,Low,Technical,Married,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
863,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
864,Through Informatics Theft,Female,27 and Under,Low,Student,Single,Under Graduate,Threating / Blackmailing,Copying Bank / ATM Cards,Receiving Public Data on Social Media
865,Through Informatics Theft,Male,Between 28 and 37,Low,Technical,Single,Primary Education,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
866,Through Informatics Theft,Male,Between 38 and 50,Middle,Others,Married,Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
867,Through Informatics Theft,Male,Between 28 and 37,Middle,Finance Sector,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
868,Through Informatics Theft,Male,51 and Above,High,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
869,Through Informatics Theft,Female,Between 28 and 37,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
870,Through Informatics Theft,Female,27 and Under,Middle,Technical,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
871,Through Informatics Theft,Male,51 and Above,High,Health Sector Manager,Married,Under Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
872,Through Informatics Theft,Male,Between 28 and 37,Low,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
873,Through Informatics Theft,Male,Between 38 and 50,Middle,Technical,Married,High School,Threating / Blackmailing,Obtaining and Using Data in Digital Environment,Social Engineering
874,Through Informatics Theft,Male,Between 28 and 37,High,Technical,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
875,Through Informatics Theft,Female,Between 28 and 37,Low,Housewife,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
876,Through Informatics Theft,Male,Between 38 and 50,High,Education,Married,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
877,Through Informatics Theft,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
878,Through Informatics Theft,Male,Between 38 and 50,Middle,Finance Sector,Married,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
879,Through Informatics Theft,Female,Between 28 and 37,Low,Technical,Married,Primary Education,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
880,Through Informatics Theft,Male,27 and Under,Low,Student,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
881,Through Informatics Theft,Female,Between 28 and 37,Low,Housewife,Married,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
882,Through Informatics Theft,Female,27 and Under,Low,Student,Single,High School,Threating / Blackmailing,Copying Bank / ATM Cards,Receiving Public Data on Social Media
883,Through Informatics Theft,Female,Between 38 and 50,Low,Housewife,Single,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
884,Through Informatics Theft,Male,Between 28 and 37,Middle,Technical,Married,Primary Education,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
885,Through Informatics Theft,Male,27 and Under,Low,Justice and Security,Married,Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
886,Through Informatics Theft,Male,27 and Under,Middle,Others,Single,High School,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
887,Through Informatics Theft,Female,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
888,Through Informatics Theft,Female,27 and Under,Low,Technical,Single,Graduate,Do Moral Harm,Copying Bank / ATM Cards,Receiving Public Data on Social Media
889,Through Informatics Theft,Male,51 and Above,Middle,Health Sector Manager,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
890,Through Informatics Theft,Male,Between 28 and 37,Middle,Others,Married,Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
891,Through Informatics Theft,Male,51 and Above,Middle,Technical,Married,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
892,Through Informatics Theft,Male,Between 38 and 50,Middle,Others,Married,Graduate,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
893,Through Informatics Theft,Female,27 and Under,Low,Housewife,Married,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
894,Through Informatics Theft,Female,Between 28 and 37,Low,Housewife,Married,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
895,Through Informatics Theft,Female,Between 28 and 37,Low,Housewife,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
896,Through Informatics Theft,Male,51 and Above,Middle,Education,Married,High School,Do Moral Harm,Obtaining and Using Data in Digital Environment,Social Engineering
897,Through Informatics Theft,Male,51 and Above,Low,Retired,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
898,Through Informatics Theft,Female,27 and Under,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
899,Through Informatics Theft,Female,Between 38 and 50,Low,Housewife,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Social Engineering
900,Through Informatics Theft,Female,27 and Under,Middle,Technical,Single,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
901,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
902,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Student,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
903,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
904,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
905,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
906,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
907,Misuse of Debit Cards or Credit Cards,Male,51 and Above,High,Justice and Security,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
908,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
909,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Justice and Security,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
910,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
911,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
912,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
913,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
914,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
915,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
916,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
917,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
918,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
919,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
920,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
921,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
922,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
923,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
924,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Justice and Security,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
925,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Retired,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
926,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
927,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
928,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
929,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
930,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,IT Sector,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
931,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Justice and Security,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
932,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
933,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
934,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
935,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
936,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Housewife,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
937,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
938,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Technical,Single,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
939,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
940,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
941,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
942,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
943,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
944,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
945,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Low,Housewife,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
946,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Justice and Security,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
947,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
948,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
949,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
950,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
951,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
952,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
953,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
954,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,High,Justice and Security,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
955,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
956,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
957,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
958,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Retired,Single,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
959,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Education,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
960,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
961,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
962,Misuse of Debit Cards or Credit Cards,Female,51 and Above,High,Justice and Security,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
963,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
964,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
965,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
966,Misuse of Debit Cards or Credit Cards,Male,27 and Under,High,Justice and Security,Single,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
967,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
968,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
969,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
970,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
971,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
972,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
973,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,High,Justice and Security,Married,Under Graduate,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
974,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Education,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
975,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
976,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
977,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
978,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
979,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
980,Misuse of Debit Cards or Credit Cards,Female,51 and Above,High,Justice and Security,Married,Under Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
981,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
982,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
983,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
984,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
985,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
986,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
987,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
988,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Education,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
989,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Single,Under Graduate,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
990,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
991,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
992,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
993,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
994,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
995,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
996,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
997,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,High,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
998,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
